ID_music,music,artists,total_artists,released_year,released_month,released_day,released_date,day_week_released,spotify_playlists,spotify_charts,streams,apple_playlists,apple_charts,deezer_playlists,deezer_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
208,Self Love ,"Metro Boomin, Coi Leray",2,2023,6,2,2/6/2023,Sexta-Feira,332,5,70106975,18,41,5,0,120,A,Major,78,5,30,21,0,13,5
209,Area Codes,"Kaliii, Kaliii",2,2023,3,17,17/3/2023,Sexta-Feira,1197,13,113509496,44,34,25,1,155,C#,Major,82,51,39,2,0,9,49
210,Abcdario,"Junior H, Eden Muñoz",2,2023,5,13,13/5/2023,Sábado,262,5,89933133,8,60,4,1,129,G#,Major,70,42,43,78,0,11,3
211,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,29/9/2022,Quinta-Feira,161,6,71007139,10,79,2,0,135,F,Minor,80,85,74,62,0,8,9
212,Pişman Değilim ,Semicenk feat. Doğu Swag,2,2023,6,2,2/6/2023,Sexta-Feira,185,3,43522589,5,6,4,1,98,A#,Minor,73,45,62,28,0,13,13
213,Flower,JISOO,1,2023,3,31,31/3/2023,Sexta-Feira,839,18,232896922,20,110,20,0,124,A,Minor,84,64,39,3,0,11,4
214,All The Way Live ,"Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,2/6/2023,Sexta-Feira,259,0,37126685,5,17,5,0,135,A,Minor,77,28,55,18,0,22,15
215,Eyes Closed,Ed Sheeran,1,2023,3,23,23/3/2023,Quinta-Feira,2915,30,195576623,116,69,107,3,107,D,Major,78,39,53,30,0,11,6
216,Escapism.,"RAYE, 070 Shake",2,2022,10,12,12/10/2022,Quarta-Feira,5129,25,532336353,116,84,114,18,96,D,Major,54,25,74,14,0,9,11
217,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,30/11/2022,Quarta-Feira,3794,34,538115192,47,77,53,10,123,G#,Major,71,58,70,30,0,32,19
218,Karma ,"Taylor Swift, Ice Spice",2,2023,5,26,26/5/2023,Sexta-Feira,588,0,46142772,23,21,31,0,90,G#,Major,62,7,62,6,0,58,6
219,Superhero ,"Future, Chris Brown, Metro Boomin",3,2022,12,2,2/12/2022,Sexta-Feira,2959,16,401036314,41,69,38,0,117,F,Minor,72,45,59,14,0,20,21
220,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,4/4/2023,Terça-Feira,291,8,127026613,8,78,4,1,133,A,Minor,78,90,84,31,0,7,4
221,Chorrito Pa Las Animas,Feid,1,2022,12,2,2/12/2022,Sexta-Feira,2321,36,345031710,29,65,34,5,96,G#,Minor,74,61,83,11,0,35,6
222,Ch Y La Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,1/12/2022,Quinta-Feira,536,10,288101651,10,72,8,3,149,G#,Major,66,85,60,40,0,14,13
223,Snow On The Beach ,"Lana Del Rey, Taylor Swift",2,2023,5,26,26/5/2023,Sexta-Feira,359,2,60350538,1,0,9,0,110,F#,Minor,66,32,40,81,0,11,3
224,Players,Coi Leray,1,2022,11,30,30/11/2022,Quarta-Feira,4096,6,335074782,118,48,143,0,105,F#,Major,95,62,52,3,0,5,16
225,Bite Me,ENHYPEN,1,2023,5,22,22/5/2023,Segunda-Feira,349,69,76767396,8,96,5,0,105,C#,Major,80,69,78,28,0,11,14
226,Stand By Me ,"Lil Durk, Morgan Wallen",2,2023,5,26,26/5/2023,Sexta-Feira,381,5,46065667,23,82,6,0,134,B,Major,76,61,58,6,0,16,3
227,Normal,Feid,1,2022,7,8,8/7/2022,Sexta-Feira,2461,36,459276435,47,66,45,5,170,E,Minor,71,59,56,4,0,27,12
